scenario,vus,reqs_total,reqs_per_sec,latency_avg_ms,latency_p95_ms,latency_p99_ms,error_rate
A_baseline_single,50,3904,256.99855313237725,193.15816137295064,197.5411,,0
B_threadpool_nocache,50,9685,643.9325991061139,77.44045255549833,139.36979999999997,,0
C_threadpool_cache,50,1989868,132657.72516509314,0.3361565073663168,0.833,,0
D_loadbalanced,50,1103426,56559.10779571582,0.64752641047067,0.948,,0
